baseline_id,superseded_id,measures,measures_status,disaggregation,category,description,value,value_low,value_high,value_type,unit,year,use_as,source_name,source_url,confidence,notes
BL-0071,CP-IT-002,,unmapped,,CP-IT,NHS National Programme for IT failed precedent,10000 to 12700,10000,12700,range,GBP millions,2013,benchmark,"UK Parliament Public Accounts Committee, 294 (2013)",https://publications.parliament.uk/pa/cm201314/cmselect/cmpubacc/294/294.pdf,high,"Budgeted at GBP 6,200M. The stated National Audit Office attribution is not what research/05 records; the linked document is the Public Accounts Committee report."
BL-0072,CP-IT-003,CP-IT-009,mapped,,CP-IT,Average cost of a healthcare data breach,7.42,,,point,USD millions,2025,benchmark,IBM Cost of a Data Breach Report,https://www.ibm.com/think/insights/cost-of-a-data-breach-healthcare-industry,high,Healthcare has been the costliest breach sector for 14 consecutive years.
BL-0073,CP-GOV-001,,unmapped,"Administrative cost ratio evidence, 1 of 3",CP-GOV,CMS Medicare administrative cost ratio (narrow),1.3,1.3,6.4,contested-range,percent,2021,benchmark,CMS Program Management data,https://www.kff.org/medicare/what-to-know-about-medicare-spending-and-financing/,medium,"R12. DISTRIBUTION, NOT A POINT: the floor is the narrow CMS accounting basis (10.8B of 1.1T+ in 2021) and the ceiling is the fully-loaded basis that adds administrative work done for Medicare by other federal agencies. research/05 RB-05-GOV-001 recommends modelling the range with an explicit methodology toggle rather than one number, and grades the underlying question the single most politically disputed number in single-payer modelling. The two endpoints are two accounting bases, not an uncertainty band, and RB-05-GOV-002 warns they must not be summed. src/lib/params.ts publicAdminRate samples 1.5 / 2.2 / 6.0 percent. $10.8B of $1.1T+ in 2021. Fully-loaded alternatives run 2.8-6.4%; the most politically contested number in single-payer modelling, and both bases are documented in research/05."
BL-0074,CP-GOV-002,,unmapped,"Administrative cost ratio evidence, 2 of 3",CP-GOV,CBO's own estimate of single-payer administrative cost,1.5 to 2.0,1.5,2.0,range,percent of spending,2020,benchmark,CBO,https://www.cbo.gov/publication/56811,high,"R28, FIXED BEFORE ANY OTHER MAPPING WORK. This row is research/05 RB-05-GOV-007, the CBO single-payer administrative cost projection. It is NOT RB-05-GOV-002, which is the CMS Program Management discretionary budget of $4.329B for FY2025 -- a dollar amount, where this is a percentage, so a join on the old id substituted one kind of quantity for another. Canonical CP-GOV-007 is Appeal volume and has nothing to do with either, so the backlog phrase ""its canonical id is CP-GOV-007"" means research/05's numbering and must not be read as a bind: `measures` is deliberately empty here. RB-05-GOV-002 also warns that its figure and RB-05-GOV-001 answer different questions and must not be summed naively. CBO Working Paper 2020-08. Likely the most load-bearing governance-cost number in the simulation. The direct PDF at cbo.gov/system/files still returns HTTP 403 to automated fetch as of 2026-08-26; the publication page does not."
BL-0075,CP-GOV-003,,unmapped,"Administrative cost ratio evidence, 3 of 3",CP-GOV,Taiwan National Health Insurance administrative cost ratio,1.07,,,point,percent,2014,benchmark,Taiwan NHI Administration,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1332,medium,"A 2014 budgeted ratio for a 23M-population system with a pre-existing national ID. research/05 calls it a demonstrated lower bound of the possible, not a rate the U.S. can assume."
BL-0076,CP-RD-001,CP-RD-001,mapped,,CP-RD,NIH annual budget,47.0,,,point,USD billions,2025,benchmark,NIH Office of Budget,https://officeofbudget.od.nih.gov/,high,FY2025 enacted. Subject to significant year-to-year political volatility. research/05 cites trade reporting for this figure; the NIH Office of Budget is the primary publisher and is cited here instead.
BL-0077,CP-RD-002,,no-canonical-equivalent,,CP-RD,US pharmaceutical industry R&D spending,83 to 105,83,105,range,USD billions/year,2019-2021,benchmark,"CBO, Research and Development in the Pharmaceutical Industry (2021); PhRMA member reporting",https://www.cbo.gov/publication/57126,medium,"The endpoints are not one measure: $83B is CBO's 2019 industry figure and $105B the top of the PhRMA-member range for 2021. PhRMA members are 75-85% of industry spending, so the two bases differ as well as the years."
BL-0078,CP-TRN-001,,unmapped,,CP-TRN,ACA implementation steady-state subsidy administration cost,125 to 140,125,140,range,USD billions/year,2025,benchmark,CBO,https://www.cbo.gov/topics/health-care/affordable-care-act,medium,Comparable large-programme financing analogue.
BL-0079,CP-TRN-002,CP-EDU-015,mapped,,CP-TRN,Trade Adjustment Assistance retraining cost per worker,10000,,,point,USD/worker,2012,benchmark,"Mathematica evaluation for DOL, cited in research/05 only via aggregators; no primary link located",,low-medium,"DOWNGRADED FOR ABSENCE OF A CITATION, NOT ON THE EVIDENCE: research/05's RB-05-TRN-003 grades this figure MEDIUM and calls ~$10,000/participant the most defensible single point estimate for direct programme cost per worker. It reaches it only through Wikipedia and an advocacy site, and a hunt for the primary Mathematica evaluation failed -- dol.gov refuses automated fetch and the publication URL could not be located. Analogue for Health Administration Transition Corps retraining cost."
BL-0080,CP-TRN-003,,no-canonical-equivalent,,CP-TRN,Medicare Part D implementation timeline,2.5,,,point,years legislation-to-launch,2006,benchmark,CMS historical record,https://www.congress.gov/crs-product/R40611,high,Legislation December 2003 to launch January 2006. Came in under budget; a positive counterweight to NPfIT.
BL-0081,,,unmapped,"Commercial-to-Medicare price ratio, inpatient facility services",CP-RX,"Commercial price as a share of Medicare, inpatient facility services",254,,,point,percent of Medicare,2022,benchmark,"RAND Hospital Price Transparency Study, Round 5.1",https://www.rand.org/pubs/research_reports/RRA1144-2.html,high,"R31. research/03 carries this as RB-03-RX-015 and RB-03-DX-011 and calls it the single most load-bearing move-to-Medicare-rates savings multiplier. It applies to imaging, labs and device-embedded procedures, not only drugs. State range under 170 percent (Arkansas) to over 300 percent. src/lib/params.ts RESEARCH_RECOMMENDATIONS derives providerPaymentFactor 0.39 from it (1 divided by 2.54) against an implemented mode of 0.92; that divergence is deliberate and is Q3, not this row."
BL-0082,,,unmapped,"Commercial-to-Medicare price ratio, outpatient facility services",CP-DX,"Commercial price as a share of Medicare, outpatient facility services",279,,,point,percent of Medicare,2022,benchmark,"RAND Hospital Price Transparency Study, Round 5.1",https://www.rand.org/pubs/research_reports/RRA1144-2.html,high,"R31. The outpatient half of the same RAND finding. Kept as its own row rather than a range because 254 and 279 are two measurements, not two endpoints of one. Informs CP-DX-006 Imaging cost by modality."
BL-0083,,,unmapped,"FQHC unit economics, published denominator",CP-UNIT,FQHC total accrued cost per patient (HRSA UDS national rollup),1671.85,,,point,USD/patient/year,2025,benchmark,"HRSA Uniform Data System, National Health Center Program awardee data",https://data.hrsa.gov/tools/data-reporting/program-data/national,high,"R2, for RB-02-UNIT-003. HRSA publishes this figure directly. It reproduces exactly from the two other published totals on the same page: 54,747,047,587 USD total cost over 32,746,392 patients served, 1,356 awardees. This is a LIVING PAGE that advances one year at a time; a reader following the link after the 2026 UDS release will see a later column, and the 2021 through 2025 series is 1218.59 / 1339.02 / 1471.09 / 1564.73 / 1671.85."
BL-0084,,,unmapped,"FQHC unit economics, per-visit denominator",CP-UNIT,"FQHC cost per visit, derived from the HRSA UDS national rollup",379.91,379.91,437.56,range,USD/visit,2025,benchmark,"HRSA Uniform Data System, National Health Center Program awardee data (Table 5 and the national cost summary)",https://data.hrsa.gov/tools/data-reporting/program-data/national,medium-high,"R2, for RB-02-UNIT-003, the analogue research/02 calls the single highest-value follow-up data pull. THE DIVISION IS THIS ROW ARITHMETIC, NOT HRSA. HRSA publishes total cost and visit counts but no cost-per-visit figure. The endpoints are two denominators, not an uncertainty band: 54,747,047,587 over 144,103,619 clinic plus virtual visits is 379.91, and over 125,120,071 clinic visits alone is 437.56 (Table 5 line 34 grand total). research/02 guessed 200 to 300 per visit without pulling the data; both derived figures sit ABOVE the top of that guess, by 27 percent and 46 percent, and above its bottom by 90 and 119 percent. That is why the pull was worth doing. Informs CP-UNIT-014 Unit variable cost per visit as an analogue; the framework unit is not an FQHC."
BL-0085,,,unmapped,,CP-LTC,Institutional-to-home long-term care cost multiplier per person-year,2.5 to 3,2.5,3,range,ratio,2021-2026,benchmark,"AARP Long-Term Services and Supports State Scorecard (home care cost); CareScout Cost of Care (nursing home cost); the multiplier itself is research/04's synthesis, stated by no single publisher",https://www.longtermscorecard.org/,medium,"RB-04-LTC-011, which research/04 calls the single most important parameter for avoided institutionalization savings, and which the seed had dropped. CROSS-VINTAGE, AND THAT IS WHY THE NUMBER IS HIGH: research/04 builds 2.5 to 3 from a 2021 home-care rate (30 hours a week at 27 USD/hour, about 42,000 USD/year) against 2024-2026 nursing home cost. Recomputed on this seed's own 2024 rows the multiplier is 2.1 to 2.5: BL-0057 at 33 to 34 USD/hour over 30 hours a week for 52 weeks is 51,480 to 53,040 USD/year, against BL-0055 at 111,325 semi-private to 127,750 private. Use 2.1 to 2.5 for anything calibrated to 2024. research/04 also carries two elasticities from a single study context, 0.26 USD of nursing-home saving per HCBS dollar and about 47.1 fewer nursing home residents per 1 percent rise in state HCBS spending; both are illustrative, not constants. The scorecard URL is a LIVING PAGE and does not state the multiplier."
