canonical_id,name,definition,value,unit,year,source,appendix_or_section,notes
CP-IT-002,Longitudinal record operating cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-003,API gateway operating cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-004,Data storage cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-005,Data exchange transaction cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-006,Cybersecurity fixed cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-007,Cybersecurity variable cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-008,Downtime continuity cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-009,Breach response cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-010,AI validation cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-011,AI monitoring cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-012,AI compute and licensing cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-013,Patient portal operating cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-014,Record correction cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-015,Sensitive-data segmentation cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-016,Vendor exit/escrow cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-017,Technical debt remediation cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-IT-018,Public dashboard operating cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
CP-GOV-001,DNHA central administration cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-002,NHAC operating cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-003,NHASB operating cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-004,CHAO operating cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-005,Ombudsman case volume,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-006,Ombudsman cost per case,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-007,Appeal volume,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-008,Appeal cost per case,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-009,Appeal overturn payment cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-010,Diagnostic safety review cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-011,Patient injury compensation cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-012,Public reporting cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-013,AI audit cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-014,Equity audit cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-015,Fraud investigation cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-016,Fraud recovery amount,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-017,Rule review cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-018,Red-team exercise cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-019,Public trust survey cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-GOV-020,Legal defense and contingency cost,,,,,,"Cost Parameter Dictionary > CP-GOV: Governance, Oversight, Appeals, Legitimacy, Safety, and Adaptation Parameters",
CP-RD-001,Public R&D program cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-002,Trial funding cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-003,Prize/reward payment cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-004,Public-interest licensing administration cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-005,Comparative effectiveness assessment cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-006,Secure research enclave cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-007,Coverage-with-evidence cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-008,Public R&D avoided monopoly cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-009,Failed R&D portfolio cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-010,High-value innovation adoption cost,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-011,Innovation avoided-care savings,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-RD-012,Licensing noncompliance recovery,,,,,,"Cost Parameter Dictionary > CP-RD: Biomedical Innovation, R&D, Public-Interest Licensing, and Technology Adoption Parameters",
CP-EDU-001,Medical school scholarship cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-002,Residency slot cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-003,Fellowship slot cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-004,Specialist backplane training cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-005,Advanced clinical workforce training cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-006,Training hub fixed cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-007,Faculty support cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-008,Rural Service Corps cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-009,Service obligation default cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-010,Workforce vacancy cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-011,Scope expansion training cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-012,Continuing education cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-013,Workforce retention incentive cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-014,Specialist bottleneck premium cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-EDU-015,Displaced worker retraining cost,,,,,,Cost Parameter Dictionary > CP-EDU: Professional Education and Workforce Pipeline Parameters,
CP-TRN-001,Transition authority operating cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-002,Patient continuity case volume,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-003,Patient continuity cost per case,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-004,Critical medication continuity cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-005,Provider liquidity reserve authority,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-006,Net provider liquidity outlay,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-007,Hospital stabilization corridor cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-008,Pharmacy continuity bridge cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-009,Legacy payer wind-down cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-010,Legacy payer data migration cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-011,State compact grant cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-012,Tribal compact transition cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-013,Rural transition protection cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-014,Employer transition administration cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-015,Wage-pass-through enforcement cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-016,Worker income bridge cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-017,Worker placement cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-018,Transition ombudsman cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-019,Transition legal safe-harbor administration cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-TRN-020,Transition complaint remediation cost,,,,,,Cost Parameter Dictionary > CP-TRN: Transition-Protection Parameters,
CP-FIN-001,Dedicated revenue receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-002,Existing federal spending redirect,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-003,State/local maintenance contribution,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-004,Employer contribution receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-005,Extreme-wealth tax receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-006,High-income/capital-income tax receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-007,Health-sector rent tax receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-008,Broad backstop contribution receipts,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-009,Wealth collection efficiency,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-010,Wealth tax avoidance leakage,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-011,Trust fund operating reserve balance,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-012,Shock reserve balance,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-013,Permanent endowment balance,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-014,Trust fund transfer,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-015,Reserve drawdown,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-016,Reserve contribution,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-017,Ordinary taxpayer burden share,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-018,Employer net savings,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-019,Worker wage pass-through amount,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-FIN-020,Tax stabilizer activation cost,,,,,,"Cost Parameter Dictionary > CP-FIN: Financing, Reserves, Trust Fund, and Sponsor Burden Parameters",
CP-OFF-001,Private insurance administrative savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-002,PBM savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-003,Provider revenue-cycle savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-004,Medical debt collection savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-005,Low-acuity ED diversion savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-006,Avoidable hospitalization savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-007,Readmission reduction savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-008,Drug price negotiation savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-009,Public manufacturing savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-010,Device/supply purchasing savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-011,Duplicate testing savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-012,Specialist avoidable-visit savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-013,Early detection savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-014,Prevention savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-015,Fraud/extraction recovery,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-016,AI productivity savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-017,Interoperability administrative savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-018,Home-first LTC savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-019,Behavioral crisis diversion savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
CP-OFF-020,Employer administrative savings,,,,,,Cost Parameter Dictionary > CP-OFF: Cost Offset and Savings Parameters,
